,,,D001,D002,D003
GEO.id,GEO.id2,GEO.display-label,Total:,Total:,Total:
Id,Id2,Geography,,Occupied,Vacant
1000000US060014002001009,060014002001009,"Block 1009, Block Group 1, Census Tract 4002, Alameda County, California",13,13,0
1000000US060014002001010,060014002001010,"Block 1010, Block Group 1, Census Tract 4002, Alameda County, California",34,34,0
1000000US060014002001011,060014002001011,"Block 1011, Block Group 1, Census Tract 4002, Alameda County, California",17,17,0
1000000US060014002001012,060014002001012,"Block 1012, Block Group 1, Census Tract 4002, Alameda County, California",3,3,0
1000000US060014002001013,060014002001013,"Block 1013, Block Group 1, Census Tract 4002, Alameda County, California",0,0,0
1000000US060014002001014,060014002001014,"Block 1014, Block Group 1, Census Tract 4002, Alameda County, California",25,24,1
1000000US060014002001015,060014002001015,"Block 1015, Block Group 1, Census Tract 4002, Alameda County, California",6,5,1
1000000US060014002001016,060014002001016,"Block 1016, Block Group 1, Census Tract 4002, Alameda County, California",6,6,0
1000000US060014002001017,060014002001017,"Block 1017, Block Group 1, Census Tract 4002, Alameda County, California",0,0,0
1000000US060014002001018,060014002001018,"Block 1018, Block Group 1, Census Tract 4002, Alameda County, California",10,9,1
1000000US060014002001019,060014002001019,"Block 1019, Block Group 1, Census Tract 4002, Alameda County, California",49,45,4
1000000US060014002001020,060014002001020,"Block 1020, Block Group 1, Census Tract 4002, Alameda County, California",69,59,10
1000000US060014002001021,060014002001021,"Block 1021, Block Group 1, Census Tract 4002, Alameda County, California",12,12,0
1000000US060014002001022,060014002001022,"Block 1022, Block Group 1, Census Tract 4002, Alameda County, California",50,47,3
1000000US060014002002000,060014002002000,"Block 2000, Block Group 2, Census Tract 4002, Alameda County, California",48,46,2
1000000US060014002002001,060014002002001,"Block 2001, Block Group 2, Census Tract 4002, Alameda County, California",23,22,1
1000000US060014002002002,060014002002002,"Block 2002, Block Group 2, Census Tract 4002, Alameda County, California",17,17,0
1000000US060014002002003,060014002002003,"Block 2003, Block Group 2, Census Tract 4002, Alameda County, California",17,16,1
1000000US060014002002004,060014002002004,"Block 2004, Block Group 2, Census Tract 4002, Alameda County, California",112,100,12
1000000US060014002002005,060014002002005,"Block 2005, Block Group 2, Census Tract 4002, Alameda County, California",8,7,1
1000000US060014002002006,060014002002006,"Block 2006, Block Group 2, Census Tract 4002, Alameda County, California",53,49,4
1000000US060014002002007,060014002002007,"Block 2007, Block Group 2, Census Tract 4002, Alameda County, California",33,33,0
1000000US060014002002008,060014002002008,"Block 2008, Block Group 2, Census Tract 4002, Alameda County, California",20,20,0
1000000US060014002002009,060014002002009,"Block 2009, Block Group 2, Census Tract 4002, Alameda County, California",0,0,0
1000000US060014002002010,060014002002010,"Block 2010, Block Group 2, Census Tract 4002, Alameda County, California",0,0,0
1000000US060014002002011,060014002002011,"Block 2011, Block Group 2, Census Tract 4002, Alameda County, California",1,1,0
1000000US060014002002012,060014002002012,"Block 2012, Block Group 2, Census Tract 4002, Alameda County, California",4,4,0
1000000US060014002002013,060014002002013,"Block 2013, Block Group 2, Census Tract 4002, Alameda County, California",37,33,4
1000000US060014002002014,060014002002014,"Block 2014, Block Group 2, Census Tract 4002, Alameda County, California",4,4,0
1000000US060014002002015,060014002002015,"Block 2015, Block Group 2, Census Tract 4002, Alameda County, California",52,47,5
1000000US060014002002016,060014002002016,"Block 2016, Block Group 2, Census Tract 4002, Alameda County, California",0,0,0
1000000US060014002002017,060014002002017,"Block 2017, Block Group 2, Census Tract 4002, Alameda County, California",0,0,0
1000000US060014003001000,060014003001000,"Block 1000, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003001001,060014003001001,"Block 1001, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003001002,060014003001002,"Block 1002, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003001003,060014003001003,"Block 1003, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003001004,060014003001004,"Block 1004, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003001005,060014003001005,"Block 1005, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003001006,060014003001006,"Block 1006, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003001007,060014003001007,"Block 1007, Block Group 1, Census Tract 4003, Alameda County, California",72,66,6
1000000US060014003001008,060014003001008,"Block 1008, Block Group 1, Census Tract 4003, Alameda County, California",97,87,10
1000000US060014003001009,060014003001009,"Block 1009, Block Group 1, Census Tract 4003, Alameda County, California",43,40,3
1000000US060014003001010,060014003001010,"Block 1010, Block Group 1, Census Tract 4003, Alameda County, California",105,102,3
1000000US060014003001011,060014003001011,"Block 1011, Block Group 1, Census Tract 4003, Alameda County, California",73,66,7
1000000US060014003001012,060014003001012,"Block 1012, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003001013,060014003001013,"Block 1013, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003001014,060014003001014,"Block 1014, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0
1000000US060014003001015,060014003001015,"Block 1015, Block Group 1, Census Tract 4003, Alameda County, California",72,69,3
1000000US060014003001016,060014003001016,"Block 1016, Block Group 1, Census Tract 4003, Alameda County, California",58,57,1
1000000US060014003001017,060014003001017,"Block 1017, Block Group 1, Census Tract 4003, Alameda County, California",3,3,0
1000000US060014003002000,060014003002000,"Block 2000, Block Group 2, Census Tract 4003, Alameda County, California",47,40,7
1000000US060014003002001,060014003002001,"Block 2001, Block Group 2, Census Tract 4003, Alameda County, California",52,48,4
1000000US060014003002002,060014003002002,"Block 2002, Block Group 2, Census Tract 4003, Alameda County, California",5,5,0
1000000US060014003002003,060014003002003,"Block 2003, Block Group 2, Census Tract 4003, Alameda County, California",39,38,1
1000000US060014003002004,060014003002004,"Block 2004, Block Group 2, Census Tract 4003, Alameda County, California",16,15,1
1000000US060014003002005,060014003002005,"Block 2005, Block Group 2, Census Tract 4003, Alameda County, California",21,20,1
1000000US060014003002006,060014003002006,"Block 2006, Block Group 2, Census Tract 4003, Alameda County, California",63,60,3
1000000US060014003002007,060014003002007,"Block 2007, Block Group 2, Census Tract 4003, Alameda County, California",30,28,2
1000000US060014003002008,060014003002008,"Block 2008, Block Group 2, Census Tract 4003, Alameda County, California",51,51,0
1000000US060014003002009,060014003002009,"Block 2009, Block Group 2, Census Tract 4003, Alameda County, California",43,42,1
1000000US060014003002010,060014003002010,"Block 2010, Block Group 2, Census Tract 4003, Alameda County, California",53,52,1
